Date,High,Low,Open,Close,Volume,Adj Close
2015-01-05,49.25857162,47.14714432,49.25857162,47.31142807,18165000,47.31142807
2015-01-06,47.63999939,45.66143036,47.34714127,46.50143051,16037700,46.50143051
2015-01-07,47.42142868,46.27142715,47.34714127,46.74285889,9849700,46.74285889
2015-01-08,47.83571243,46.47857285,47.11999893,47.77999878,9601900,47.77999878
2015-01-09,48.02000046,46.89857101,47.63142776,47.04142761,9578100,47.04142761
2015-01-12,47.19857025,45.26428604,47.09000015,45.54714203,12944400,45.54714203
2015-01-13,47.04857254,45.90000153,46.02142715,46.25571442,18721500,46.25571442
2015-01-14,47.36999893,45.68000031,47.07143021,46.31999969,19884900,46.31999969
2015-01-15,46.7857132,45.84428787,46.54714203,46.25143051,11669000,46.25143051
2015-01-16,48.25,46.38142776,46.8571434,48.19142914,19696600,48.19142914
2015-01-20,50,47.7142868,48.57143021,49.82857132,40551000,49.82857132
2015-01-21,59.24000168,57.40999985,59.23428726,58.46857071,66902500,58.46857071
2015-01-22,61.37428665,57.82857132,58.57143021,61.20571518,33319300,61.20571518
2015-01-23,62.74285889,60.88142776,60.98857117,62.49428558,26784100,62.49428558
2015-01-26,63.89857101,61.95714188,62.57143021,63.79428482,21268800,63.79428482
2015-01-27,65.33999634,63.04999924,63.08714294,64.88143158,24612700,64.88143158
2015-01-28,64.82142639,63.08142853,64.74143219,63.20857239,24532900,63.20857239
2015-01-29,63.9271431,62.5,63.20428467,63.40000153,15127700,63.40000153
2015-01-30,63.98428726,62.65571213,63.13285828,63.11428452,13215300,63.11428452
2015-02-02,63.42856979,61.95571518,62.84285736,63.00999832,12990600,63.00999832
2015-02-03,65.4671402,62.72999954,63.31999969,65.27428436,16440200,65.27428436
2015-02-04,65.17428589,63.88999939,65.04142761,64.1014328,12450900,64.1014328
2015-02-05,65.13857269,63.66571426,64.54142761,64.12999725,14248500,64.12999725
2015-02-06,64.42857361,63.17571259,64.25,63.47999954,8898400,63.47999954
2015-02-09,63.7857132,62.63714218,63.19857025,63.29571533,8173200,63.29571533
2015-02-10,65.15714264,63.10142899,63.45999908,64.84999847,15418900,64.84999847
2015-02-11,66.14142609,64.55714417,64.83000183,64.98428345,13953100,64.98428345
2015-02-12,65.60713959,64.45143127,65.05857086,65.24714661,8464400,65.24714661
2015-02-13,66.62999725,65.42285919,65.42857361,66.58571625,12968900,66.58571625
2015-02-17,67.37142944,65.94428253,66.51571655,67.137146,11170600,67.137146
2015-02-18,68.06999969,66.64571381,67.02285767,67.86571503,10316600,67.86571503
2015-02-19,68.7142868,67.57428741,67.85713959,67.80000305,10432100,67.80000305
2015-02-20,68.37428284,67.637146,67.94999695,68.31428528,9422000,68.31428528
2015-02-23,68.31428528,67.14286041,68.30000305,67.40571594,9031400,67.40571594
2015-02-24,68.08428955,67.35571289,67.37285614,67.83999634,6075300,67.83999634
2015-02-25,68.79428864,67.80714417,67.80714417,68.33285522,6854400,68.33285522
2015-02-26,69.5,68.43000031,68.62571716,69.00428772,10852800,69.00428772
2015-02-27,69.42857361,67.818573,69.08142853,67.84428406,11516400,67.84428406
2015-03-02,68.60713959,67.23428345,67.7142868,68.60713959,10187100,68.60713959
2015-03-03,68.45714569,67.50714111,68.34428406,67.81571198,7426300,67.81571198
2015-03-04,67.92571259,66.1828537,67.52999878,67.11000061,17453800,67.11000061
2015-03-05,67.4642868,66.41999817,67.42857361,66.80714417,11244800,66.80714417
2015-03-06,66.92571259,64.84428406,66.64286041,64.87428284,12888400,64.87428284
2015-03-09,65.09285736,62.82857132,64.98999786,63.66143036,18970700,63.66143036
2015-03-10,63.35142899,61.98285675,63.01571274,62.15142822,17947300,62.15142822
2015-03-11,63.93999863,62.24000168,62.24000168,62.88428497,16363200,62.88428497
2015-03-12,64.58285522,63.34000015,63.34714127,64.04571533,14654500,64.04571533
2015-03-13,64.05714417,62.36714172,63.90714264,62.62857056,10161200,62.62857056
2015-03-16,61.54714203,59.61999893,61.54714203,60.28142929,26796000,60.28142929
2015-03-17,60.69428635,59.38428497,59.71285629,59.7885704,18428200,59.7885704
2015-03-18,60.65000153,59.29999924,59.73857117,60.44571304,14634900,60.44571304
2015-03-19,61.2114296,60.25571442,60.45999908,60.74428558,11449900,60.74428558
2015-03-20,61.7857132,60.89571381,61.33714294,61.18571472,13641600,61.18571472
2015-03-23,61.15571213,60.33000183,60.88999939,60.7142868,7664300,60.7142868
2015-03-24,63.09857178,61.11857224,61.13571548,62.61142731,16888900,62.61142731
2015-03-25,62.69142914,60.24428558,62.68428421,60.25,21652400,60.25
2015-03-26,60.44714355,59.38999939,59.62857056,59.75143051,16039100,59.75143051
2015-03-27,59.84714127,58.5728569,59.33000183,59.25285721,15852200,59.25285721
2015-03-30,60.56428528,59.36428452,59.7157135,60.36714172,13272700,60.36714172
2015-03-31,60.41999817,59.45571518,60.11000061,59.52714157,14248500,59.52714157
2015-04-01,59.7857132,58.70285797,59.6428566,59.01714325,14639800,59.01714325
2015-04-02,59.6071434,58.86142731,59.07143021,59.15428543,9864400,59.15428543
2015-04-06,60.44714355,58.4642868,58.76856995,60.33000183,10730300,60.33000183
2015-04-07,60.84857178,60.04285812,60.49714279,60.49428558,9977100,60.49428558
2015-04-08,63.1071434,61.18428421,61.20142746,63.04999924,22327900,63.04999924
2015-04-09,63.13571548,62.11428452,63,62.7857132,13455400,62.7857132
2015-04-10,64.99571228,63.94714355,64.3971405,64.93856812,22367100,64.93856812
2015-04-13,69.2857132,67.05714417,67.23999786,67.81143188,44436700,67.81143188
2015-04-14,69.14286041,67.4214325,68.85713959,68.387146,28641900,68.387146
2015-04-15,68.70428467,67.36428833,68.70428467,67.92285919,42528500,67.92285919
2015-04-16,81.25,75.7142868,76,80.29285431,104500900,80.29285431
2015-04-17,82.14286041,79.7142868,79.77857208,81.65000153,58306500,81.65000153
2015-04-20,82.30428314,80.38143158,81.7857132,81.05571747,30766400,81.05571747
2015-04-21,81.48428345,79.80000305,81.23428345,80.06285858,15925700,80.06285858
2015-04-22,80.71286011,79.54428864,80.21142578,79.66857147,12089700,79.66857147
2015-04-23,80.34285736,78.95571136,79.65571594,79.86571503,12687500,79.86571503
2015-04-24,80.80857086,79.50714111,80.17285919,79.77143097,11045300,79.77143097
2015-04-27,81.7857132,80.23000336,80.29285431,80.86856842,15246700,80.86856842
2015-04-28,81.27857208,79.94428253,80.58999634,80.43714142,8826300,80.43714142
2015-04-29,81.05571747,79.64428711,80.06999969,80.40714264,9534700,80.40714264
2015-04-30,80.83571625,79.12428284,80.23714447,79.5,10565100,79.5
